episode,reward,avg_reward,steps,deliveries,collisions,timestamp
16,0,0.0,0,0,0,2025-04-20T01:48:25.949245
17,0,0.0,0,0,0,2025-04-20T01:48:26.590857
18,0,0.0,0,0,0,2025-04-20T01:48:27.358433
19,0,0.0,0,0,0,2025-04-20T01:48:28.109001
20,0,0.0,0,0,0,2025-04-20T01:48:28.757538
21,0,0.0,0,0,0,2025-04-20T01:48:29.400168
22,0,0.0,0,0,0,2025-04-20T01:48:30.034801
23,0,0.0,0,0,0,2025-04-20T01:48:30.685427
24,0,0.0,0,0,0,2025-04-20T01:48:31.320229
25,0,0.0,0,0,0,2025-04-20T01:48:31.960948
26,0,0.0,0,0,0,2025-04-20T01:48:32.623565
27,0,0.0,0,0,0,2025-04-20T01:48:33.267196
28,0,0.0,0,0,0,2025-04-20T01:48:33.898833
29,0,0.0,0,0,0,2025-04-20T01:48:34.540517
30,0,0.0,0,0,0,2025-04-20T01:48:35.184151
31,0,0.0,0,0,0,2025-04-20T01:48:35.823304
32,0,0.0,0,0,0,2025-04-20T01:48:36.473295
33,0,0.0,0,0,0,2025-04-20T01:48:37.107933
34,0,0.0,0,0,0,2025-04-20T01:48:37.737572
35,0,0.0,0,0,0,2025-04-20T01:48:38.374205
36,0,0.0,0,0,0,2025-04-20T01:48:39.004850
37,0,0.0,0,0,0,2025-04-20T01:48:39.714435
38,0,0.0,0,0,0,2025-04-20T01:48:40.508976
39,0,0.0,0,0,0,2025-04-20T01:48:41.315511
40,0,0.0,0,0,0,2025-04-20T01:48:42.006116
41,0,0.0,0,0,0,2025-04-20T01:48:42.815651
42,0,0.0,0,0,0,2025-04-20T01:48:43.490262
43,0,0.0,0,0,0,2025-04-20T01:48:44.136890
44,0,0.0,0,0,0,2025-04-20T01:48:44.801978
45,0,0.0,0,0,0,2025-04-20T01:48:45.498574
46,0,0.0,0,0,0,2025-04-20T01:48:46.205188
47,0,0.0,0,0,0,2025-04-20T01:48:46.872786
48,0,0.0,0,0,0,2025-04-20T01:48:47.521410
49,0,0.0,0,0,0,2025-04-20T01:48:48.284972
50,0,0.0,0,0,0,2025-04-20T01:48:48.964597
0,0,0.0,0,0,0,2025-04-20T01:56:02.538316
1,0,0.0,0,0,0,2025-04-20T01:56:03.832559
2,0,0.0,0,0,0,2025-04-20T01:56:05.452627
3,0,0.0,0,0,0,2025-04-20T01:56:06.708913
4,0,0.0,0,0,0,2025-04-20T01:56:07.397507
5,0,0.0,0,0,0,2025-04-20T01:56:08.232611
6,0,0.0,0,0,0,2025-04-20T01:56:08.902231
7,0,0.0,0,0,0,2025-04-20T01:56:09.693777
8,0,0.0,0,0,0,2025-04-20T01:56:10.482343
9,0,0.0,0,0,0,2025-04-20T01:56:11.147766
10,0,0.0,0,0,0,2025-04-20T01:56:11.817384
11,0,0.0,0,0,0,2025-04-20T01:56:12.480002
12,0,0.0,0,0,0,2025-04-20T01:56:13.141643
13,0,0.0,0,0,0,2025-04-20T01:56:13.811629
14,0,0.0,0,0,0,2025-04-20T01:56:14.478318
15,0,0.0,0,0,0,2025-04-20T01:56:15.135964
16,0,0.0,0,0,0,2025-04-20T01:56:15.789571
17,0,0.0,0,0,0,2025-04-20T01:56:16.450465
18,0,0.0,0,0,0,2025-04-20T01:56:17.116088
19,0,0.0,0,0,0,2025-04-20T01:56:17.772710
20,0,0.0,0,0,0,2025-04-20T01:56:18.435328
21,0,0.0,0,0,0,2025-04-20T01:56:19.083195
22,0,0.0,0,0,0,2025-04-20T01:56:19.744697
23,0,0.0,0,0,0,2025-04-20T01:56:20.402322
24,0,0.0,0,0,0,2025-04-20T01:56:21.060943
25,0,0.0,0,0,0,2025-04-20T01:56:21.720564
26,0,0.0,0,0,0,2025-04-20T01:56:22.363195
27,0,0.0,0,0,0,2025-04-20T01:56:23.022529
0,0,0.0,0,0,0,2025-04-20T01:56:53.075491
1,0,0.0,0,0,0,2025-04-20T01:56:54.045951
2,0,0.0,0,0,0,2025-04-20T01:56:54.803498
3,0,0.0,0,0,0,2025-04-20T01:56:55.661148
4,0,0.0,0,0,0,2025-04-20T01:56:56.426710
5,0,0.0,0,0,0,2025-04-20T01:56:57.324192
6,0,0.0,0,0,0,2025-04-20T01:56:58.218676
7,0,0.0,0,0,0,2025-04-20T01:56:58.945521
8,0,0.0,0,0,0,2025-04-20T01:56:59.734082
9,0,0.0,0,0,0,2025-04-20T01:57:00.525613
10,0,0.0,0,0,0,2025-04-20T01:57:01.292983
11,0,0.0,0,0,0,2025-04-20T01:57:02.179475
12,0,0.0,0,0,0,2025-04-20T01:57:02.917050
13,0,0.0,0,0,0,2025-04-20T01:57:03.686606
14,0,0.0,0,0,0,2025-04-20T01:57:04.417186
15,0,0.0,0,0,0,2025-04-20T01:57:05.086800
16,0,0.0,0,0,0,2025-04-20T01:57:05.784400
17,0,0.0,0,0,0,2025-04-20T01:57:07.189592
18,0,0.0,0,0,0,2025-04-20T01:57:08.958572
19,0,0.0,0,0,0,2025-04-20T01:57:12.315641
20,0,0.0,0,0,0,2025-04-20T01:57:14.224541
21,0,0.0,0,0,0,2025-04-20T01:57:15.811630
22,0,0.0,0,0,0,2025-04-20T01:57:17.835465
23,0,0.0,0,0,0,2025-04-20T01:57:18.743529
24,0,0.0,0,0,0,2025-04-20T01:57:19.430143
25,0,0.0,0,0,0,2025-04-20T01:57:20.163717
26,0,0.0,0,0,0,2025-04-20T01:57:21.069198
27,0,0.0,0,0,0,2025-04-20T01:57:21.758820
0,0,0.0,0,0,0,2025-04-20T01:57:27.084956
1,0,0.0,0,0,0,2025-04-20T01:57:27.955453
2,0,0.0,0,0,0,2025-04-20T01:57:28.784977
3,0,0.0,0,0,0,2025-04-20T01:57:29.519553
4,0,0.0,0,0,0,2025-04-20T01:57:30.301106
5,0,0.0,0,0,0,2025-04-20T01:57:31.212593
6,0,0.0,0,0,0,2025-04-20T01:57:31.932165
7,0,0.0,0,0,0,2025-04-20T01:57:32.619769
8,0,0.0,0,0,0,2025-04-20T01:57:33.347350
9,0,0.0,0,0,0,2025-04-20T01:57:34.135896
10,0,0.0,0,0,0,2025-04-20T01:57:34.955739
11,0,0.0,0,0,0,2025-04-20T01:57:35.805248
